uid;action;level;event_time
elljQ2EySG03MDU0MTE3MTAyMTE3MA;failed;113;1,51209E+12
elljQ2EySG03MDU0MTE3MTAyMTE3MA;failed;113;1,51209E+12
elljQ2EySG03MDU0MTE3MTAyMTE3MA;failed;113;1,51209E+12
elljQ2EySG03MDU0MTE3MTAyMTE3MA;failed;113;1,51209E+12
elljQ2EySG03MDU0MTE3MTAyMTE3MA;failed;113;1,51209E+12
elljQ2EySG03MDU0MTE3MTAyMTE3MA;failed;113;1,51214E+12
elljQ2EySG03MDU0MTE3MTAyMTE3MA;failed;113;1,51214E+12
elljQ2EySG03MDU0MTE3MTAyMTE3MA;failed;113;1,51214E+12
elljQ2EySG03MDU0MTE3MTAyMTE3MA;failed;113;1,51214E+12
elljQ2EySG03MDU0MTE3MTAyMTE3MA;failed;113;1,51209E+12
elljQ2EySG03MDU0MTE3MTAyMTE3MA;failed;113;1,51214E+12
elljQ2EySG03MDU0MTE3MTAyMTE3MA;failed;113;1,51214E+12
elljQ2EySG03MDU0MTE3MTAyMTE3MA;failed;113;1,51215E+12
elljQ2EySG03MDU0MTE3MTAyMTE3MA;failed;113;1,51214E+12
elljQ2EySG03MDU0MTE3MTAyMTE3MA;failed;113;1,51214E+12
elljQ2EySG03MDU0MTE3MTAyMTE3MA;failed;114;1,51216E+12
elljQ2EySG03MDU0MTE3MTAyMTE3MA;failed;114;1,51216E+12
elljQ2EySG03MDU0MTE3MTAyMTE3MA;failed;114;1,51216E+12
elljQ2EySG03MDU0MTE3MTAyMTE3MA;failed;114;1,51215E+12
elljQ2EySG03MDU0MTE3MTAyMTE3MA;failed;114;1,51215E+12
elljQ2EySG03MDU0MTE3MTAyMTE3MA;failed;114;1,51216E+12
elljQ2EySG03MDU0MTE3MTAyMTE3MA;failed;114;1,51216E+12
elljQ2EySG03MDU0MTE3MTAyMTE3MA;completed;113;1,51215E+12
elljQ2EySG03MDU0MTE3MTAyMTE3MA;failed;113;1,51215E+12
bGd1WnNqQ0ExMTgwMjI3MTAyOTAyMg;failed;396;1,5121E+12
bGd1WnNqQ0ExMTgwMjI3MTAyOTAyMg;failed;396;1,5121E+12
bGd1WnNqQ0ExMTgwMjI3MTAyOTAyMg;failed;396;1,5121E+12
bGd1WnNqQ0ExMTgwMjI3MTAyOTAyMg;failed;396;1,5121E+12
bGd1WnNqQ0ExMTgwMjI3MTAyOTAyMg;failed;396;1,51209E+12
bGd1WnNqQ0ExMTgwMjI3MTAyOTAyMg;failed;396;1,51209E+12
